                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.69363,                0.47503,                 1.1342,                0.87427,                 0.7223,                0.76898,                  0.534,                 1.3195,                0.87746,                 2.0118,              0.0002972,              0.0002972,              0.0002972
                     89,                0.69323,                0.46766,                 1.1319,                0.86966,                 0.7263,                0.76593,                 0.5386,                 1.3072,                0.86829,                  1.978,              0.0002774,              0.0002774,              0.0002774
                     90,                0.68878,                0.47363,                 1.1279,                0.84113,                0.72808,                0.76727,                0.53807,                 1.3143,                0.88111,                 2.0065,              0.0002576,              0.0002576,              0.0002576
                     91,                0.61679,                0.37576,                 1.0994,                0.84632,                0.73525,                 0.7748,                0.54111,                 1.3095,                0.84086,                  2.017,              0.0002378,              0.0002378,              0.0002378
                     92,                0.60321,                0.36659,                 1.0896,                0.85766,                 0.7562,                0.79376,                0.55407,                 1.2651,                 0.8287,                  1.978,               0.000218,               0.000218,               0.000218
                     93,                0.59202,                 0.3597,                 1.0803,                 0.8645,                0.75834,                0.78702,                0.55407,                 1.2693,                0.83253,                 1.9912,              0.0001982,              0.0001982,              0.0001982
                     94,                0.59056,                0.35223,                 1.0757,                0.87299,                  0.753,                0.78679,                0.54916,                  1.272,                0.83481,                 2.0018,              0.0001784,              0.0001784,              0.0001784
                     95,                0.58473,                0.34798,                 1.0694,                0.84652,                0.75434,                0.78521,                0.55038,                 1.2767,                0.83415,                  2.014,              0.0001586,              0.0001586,              0.0001586
                     96,                0.57707,                 0.3479,                 1.0659,                0.86051,                0.74366,                0.77983,                0.54739,                 1.2796,                0.83675,                 2.0087,              0.0001388,              0.0001388,              0.0001388
                     97,                0.57499,                0.34401,                 1.0667,                0.86548,                0.73871,                0.77597,                0.55051,                 1.2748,                0.84209,                 2.0241,               0.000119,               0.000119,               0.000119
                     98,                0.56945,                 0.3427,                 1.0606,                 0.8633,                0.73965,                0.78086,                0.55264,                 1.2509,                0.83953,                 1.9858,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.57026,                0.33655,                 1.0621,                0.86775,                0.72712,                0.78452,                0.55579,                  1.255,                0.83853,                 1.9983,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.56764,                0.33703,                 1.0553,                0.83932,                0.76368,                0.78125,                0.55563,                  1.248,                0.84555,                 1.9898,               5.96e-05,               5.96e-05,               5.96e-05
