                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.62733,                 0.4737,                 1.1275,                0.83665,                 0.7633,                0.79513,                0.51168,                 1.2824,                0.91139,                 1.9236,               0.005512,               0.005512,               0.005512
                     71,                0.62877,                0.48117,                 1.1301,                0.83625,                0.76331,                0.79512,                0.51165,                 1.2818,                0.91077,                 1.9232,               0.005446,               0.005446,               0.005446
                     72,                0.62903,                0.47457,                 1.1276,                0.84361,                0.75998,                0.79614,                0.51184,                  1.281,                0.90959,                 1.9226,                0.00538,                0.00538,                0.00538
                     73,                0.62878,                0.47909,                 1.1313,                0.84528,                 0.7608,                0.79605,                0.51254,                 1.2807,                0.90741,                 1.9229,               0.005314,               0.005314,               0.005314
                     74,                0.62608,                0.47065,                 1.1284,                0.84404,                0.76143,                0.79696,                0.51352,                 1.2806,                0.90569,                 1.9233,               0.005248,               0.005248,               0.005248
                     75,                0.62435,                0.47463,                 1.1267,                0.84404,                0.76143,                0.79685,                0.51423,                 1.2801,                0.90495,                 1.9231,               0.005182,               0.005182,               0.005182
                     76,                0.62006,                0.47402,                  1.125,                0.84426,                0.76036,                0.79702,                0.51498,                 1.2799,                0.90508,                 1.9241,               0.005116,               0.005116,               0.005116
                     77,                0.62458,                0.47305,                 1.1265,                0.84716,                 0.7583,                0.79648,                0.51545,                  1.278,                0.90434,                 1.9223,                0.00505,                0.00505,                0.00505
                     78,                0.62007,                0.46594,                  1.124,                0.84778,                0.75892,                0.79634,                0.51487,                 1.2772,                 0.9046,                  1.922,               0.004984,               0.004984,               0.004984
                     79,                0.62227,                0.46976,                 1.1247,                0.84611,                 0.7608,                0.79616,                0.51562,                 1.2767,                0.90365,                 1.9212,               0.004918,               0.004918,               0.004918
                     80,                0.61401,                0.46333,                 1.1201,                0.84642,                0.76268,                0.79585,                0.51551,                 1.2773,                 0.9016,                 1.9218,               0.004852,               0.004852,               0.004852
                     81,                0.61309,                0.46202,                 1.1204,                 0.8486,                0.76143,                0.79638,                0.51472,                 1.2762,                0.90009,                 1.9205,               0.004786,               0.004786,               0.004786
                     82,                 0.6151,                0.46542,                 1.1194,                0.85028,                0.75955,                0.79835,                0.51561,                 1.2758,                0.89804,                 1.9199,                0.00472,                0.00472,                0.00472
                     83,                0.60971,                0.45918,                 1.1184,                0.85252,                0.75767,                0.79903,                0.51775,                 1.2741,                0.89833,                 1.9188,               0.004654,               0.004654,               0.004654
                     84,                0.61443,                0.46148,                  1.118,                0.85328,                0.75642,                 0.7985,                0.51736,                 1.2728,                0.89694,                 1.9176,               0.004588,               0.004588,               0.004588
                     85,                0.60971,                0.45613,                 1.1163,                0.85302,                0.75588,                0.79792,                0.51834,                 1.2718,                0.89604,                 1.9164,               0.004522,               0.004522,               0.004522
                     86,                0.61008,                0.45974,                 1.1161,                0.83805,                0.76795,                0.79854,                0.51832,                 1.2712,                0.89463,                 1.9164,               0.004456,               0.004456,               0.004456
                     87,                0.60699,                0.45665,                 1.1154,                0.83792,                0.77043,                0.80085,                0.51938,                 1.2704,                 0.8942,                 1.9163,                0.00439,                0.00439,                0.00439
                     88,                0.59987,                 0.4521,                 1.1123,                0.84832,                0.76143,                0.80088,                0.51848,                 1.2694,                0.89396,                 1.9154,               0.004324,               0.004324,               0.004324
                     89,                0.60342,                0.45208,                 1.1119,                0.84253,                0.76518,                0.80126,                0.51964,                 1.2697,                0.89286,                 1.9159,               0.004258,               0.004258,               0.004258
                     90,                 0.6023,                0.45124,                 1.1125,                 0.8432,                0.76518,                0.80117,                0.52008,                 1.2689,                 0.8927,                 1.9157,               0.004192,               0.004192,               0.004192
                     91,                0.59794,                0.44802,                 1.1089,                0.84247,                0.76354,                0.80166,                0.51992,                 1.2677,                0.89309,                 1.9148,               0.004126,               0.004126,               0.004126
                     92,                0.59774,                0.44461,                  1.109,                 0.8457,                0.76331,                0.80218,                0.52086,                  1.267,                 0.8931,                 1.9144,                0.00406,                0.00406,                0.00406
                     93,                0.59637,                 0.4436,                 1.1091,                0.84762,                0.76278,                0.80289,                0.52179,                  1.266,                0.89196,                 1.9139,               0.003994,               0.003994,               0.003994
                     94,                0.59411,                0.44338,                 1.1082,                0.84733,                0.76458,                 0.8042,                0.52281,                 1.2655,                 0.8912,                 1.9137,               0.003928,               0.003928,               0.003928
                     95,                0.59078,                0.43838,                 1.1047,                0.84692,                0.76331,                 0.8032,                0.52466,                 1.2646,                0.89171,                 1.9123,               0.003862,               0.003862,               0.003862
                     96,                0.59329,                0.44412,                 1.1062,                0.85204,                0.76086,                0.80299,                0.52398,                 1.2637,                0.89123,                 1.9115,               0.003796,               0.003796,               0.003796
                     97,                0.59481,                0.44409,                 1.1076,                0.85332,                0.75773,                 0.8027,                0.52414,                 1.2628,                0.89113,                 1.9104,                0.00373,                0.00373,                0.00373
                     98,                0.59336,                0.44135,                 1.1064,                0.85515,                0.75411,                0.80181,                0.52403,                 1.2634,                0.89048,                 1.9115,               0.003664,               0.003664,               0.003664
                     99,                0.58584,                0.43629,                  1.103,                0.85618,                0.75454,                0.80109,                0.52371,                 1.2629,                0.89087,                  1.911,               0.003598,               0.003598,               0.003598
                    100,                0.58597,                0.43556,                 1.1016,                0.85641,                0.75517,                0.80135,                0.52414,                 1.2625,                0.88839,                 1.9108,               0.003532,               0.003532,               0.003532
                    101,                0.58499,                 0.4344,                 1.0997,                0.85485,                0.75579,                0.80127,                0.52432,                  1.262,                0.88816,                 1.9103,               0.003466,               0.003466,               0.003466
                    102,                0.58478,                0.43304,                 1.1005,                0.84436,                0.76771,                0.80081,                0.52454,                 1.2606,                0.88777,                 1.9083,                 0.0034,                 0.0034,                 0.0034
                    103,                0.58453,                0.42929,                 1.0989,                0.84284,                0.77019,                0.80112,                0.52507,                 1.2597,                0.88763,                 1.9072,               0.003334,               0.003334,               0.003334
                    104,                0.58232,                0.43217,                 1.1003,                0.84844,                0.76768,                0.80315,                0.52618,                 1.2593,                0.88704,                 1.9066,               0.003268,               0.003268,               0.003268
                    105,                0.58001,                0.42738,                  1.098,                0.85039,                0.76769,                0.80454,                0.52631,                 1.2581,                0.88724,                 1.9061,               0.003202,               0.003202,               0.003202
